program,cost,dl_bits,base_rate,base_rate_pct,base_rate_se,n_valid
(λ not (has_suit $0 CLUBS)),12.0384,17.3678,0.166,16.6,0.003721,10000
(λ not (has_suit $0 DIAMONDS)),12.0384,17.3678,0.1603,16.03,0.003669,10000
(λ not (has_suit $0 HEARTS)),12.0384,17.3678,0.1604,16.04,0.00367,10000
(λ not (has_suit $0 SPADES)),12.0384,17.3678,0.1633,16.33,0.003696,10000
(λ lt 3 (n_unique_suits $0)),13.3069,19.1978,0.4197,41.97,0.004935,10000
(λ lt 3 (min_rank $0)),13.3069,19.1978,0.3468,34.68,0.00476,10000
(λ lt 4 (min_rank $0)),13.3069,19.1978,0.1913,19.13,0.003933,10000
(λ lt 5 (n_unique_ranks $0)),13.3069,19.1978,0.3536,35.36,0.004781,10000
(λ lt 5 (min_rank $0)),13.3069,19.1978,0.0988,9.88,0.002984,10000
(λ lt (n_unique_suits $0) 3),13.3069,19.1978,0.0696,6.96,0.002545,10000
(λ lt (n_unique_ranks $0) 5),13.3069,19.1978,0.1733,17.33,0.003785,10000
(λ lt (min_rank $0) 3),13.3069,19.1978,0.3953,39.53,0.004889,10000
(λ has_color (first_half (first_half $0)) RED),13.8665,20.0052,0.4969,49.69,0.005,10000
(λ has_color (first_half (second_half $0)) BLACK),13.8665,20.0052,0.4997,49.97,0.005,10000
(λ has_suit (first_half (first_half $0)) CLUBS),14.1179,20.3678,0.2515,25.15,0.004339,10000
(λ has_suit (first_half (first_half $0)) DIAMONDS),14.1179,20.3678,0.2458,24.58,0.004306,10000
(λ has_suit (first_half (first_half $0)) HEARTS),14.1179,20.3678,0.2511,25.11,0.004336,10000
(λ has_suit (first_half (first_half $0)) SPADES),14.1179,20.3678,0.2516,25.16,0.004339,10000
(λ has_suit (first_half (second_half $0)) CLUBS),14.1179,20.3678,0.2518,25.18,0.00434,10000
(λ has_suit (first_half (second_half $0)) DIAMONDS),14.1179,20.3678,0.2498,24.98,0.004329,10000
(λ has_suit (first_half (second_half $0)) HEARTS),14.1179,20.3678,0.2505,25.05,0.004333,10000
(λ has_suit (first_half (second_half $0)) SPADES),14.1179,20.3678,0.2479,24.79,0.004318,10000
(λ has_suit (second_half (first_half $0)) CLUBS),14.1179,20.3678,0.4415,44.15,0.004966,10000
(λ has_suit (second_half (first_half $0)) DIAMONDS),14.1179,20.3678,0.4385,43.85,0.004962,10000
(λ has_suit (second_half (first_half $0)) HEARTS),14.1179,20.3678,0.4374,43.74,0.004961,10000
(λ has_suit (second_half (first_half $0)) SPADES),14.1179,20.3678,0.4427,44.27,0.004967,10000
(λ has_suit (second_half (second_half $0)) CLUBS),14.1179,20.3678,0.434,43.4,0.004956,10000
(λ has_suit (second_half (second_half $0)) DIAMONDS),14.1179,20.3678,0.4449,44.49,0.00497,10000
(λ has_suit (second_half (second_half $0)) HEARTS),14.1179,20.3678,0.4456,44.56,0.00497,10000
(λ has_suit (second_half (second_half $0)) SPADES),14.1179,20.3678,0.4395,43.95,0.004963,10000
(λ has_suit (head (adjacent_pairs $0)) CLUBS),14.1979,20.4832,0.4425,44.25,0.004967,10000
(λ has_suit (head (adjacent_pairs $0)) DIAMONDS),14.1979,20.4832,0.4331,43.31,0.004955,10000
(λ has_suit (head (adjacent_pairs $0)) HEARTS),14.1979,20.4832,0.4456,44.56,0.00497,10000
(λ has_suit (head (adjacent_pairs $0)) SPADES),14.1979,20.4832,0.444,44.4,0.004969,10000
(λ not (has_color (first_half $0) RED)),14.272,20.5901,0.1178,11.78,0.003224,10000
(λ not (has_color (first_half $0) BLACK)),14.272,20.5901,0.1122,11.22,0.003156,10000
(λ not (has_color (second_half $0) RED)),14.272,20.5901,0.1121,11.21,0.003155,10000
(λ not (has_color (second_half $0) BLACK)),14.272,20.5901,0.1199,11.99,0.003248,10000
(λ not (has_suit (first_half $0) CLUBS)),14.5233,20.9527,0.4125,41.25,0.004923,10000
(λ not (has_suit (first_half $0) DIAMONDS)),14.5233,20.9527,0.4165,41.65,0.00493,10000
(λ not (has_suit (first_half $0) HEARTS)),14.5233,20.9527,0.4117,41.17,0.004921,10000
(λ not (has_suit (first_half $0) SPADES)),14.5233,20.9527,0.4102,41.02,0.004919,10000
(λ not (has_suit (second_half $0) CLUBS)),14.5233,20.9527,0.4201,42.01,0.004936,10000
(λ not (has_suit (second_half $0) DIAMONDS)),14.5233,20.9527,0.4089,40.89,0.004916,10000
(λ not (has_suit (second_half $0) HEARTS)),14.5233,20.9527,0.4145,41.45,0.004926,10000
(λ not (has_suit (second_half $0) SPADES)),14.5233,20.9527,0.4183,41.83,0.004933,10000
(λ has_color (drop 5 $0) BLACK),14.5597,21.0052,0.49,49.0,0.004999,10000
(λ lt (rank_val (head $0)) 3),14.6932,21.1978,0.0744,7.44,0.002624,10000
(λ lt (rank_val (head $0)) 4),14.6932,21.1978,0.1532,15.32,0.003602,10000
(λ lt (rank_val (head $0)) 5),14.6932,21.1978,0.23,23.0,0.004208,10000
(λ lt (rank_val (last $0)) 3),14.6932,21.1978,0.0775,7.75,0.002674,10000
(λ lt (rank_val (last $0)) 4),14.6932,21.1978,0.155,15.5,0.003619,10000
(λ lt (rank_val (last $0)) 5),14.6932,21.1978,0.2383,23.83,0.00426,10000
(λ le (rank_val (head $0)) 5),14.6932,21.1978,0.3054,30.54,0.004606,10000
(λ le (rank_val (last $0)) 5),14.6932,21.1978,0.313,31.3,0.004637,10000
(λ has_suit (drop 5 $0) CLUBS),14.811,21.3678,0.2439,24.39,0.004294,10000
(λ has_suit (drop 5 $0) DIAMONDS),14.811,21.3678,0.2486,24.86,0.004322,10000
(λ has_suit (drop 5 $0) HEARTS),14.811,21.3678,0.2614,26.14,0.004394,10000
(λ has_suit (drop 5 $0) SPADES),14.811,21.3678,0.2461,24.61,0.004307,10000
(λ lt 3 (count_color $0 RED)),15.2528,22.0052,0.3331,33.31,0.004713,10000
(λ lt 3 (count_color $0 BLACK)),15.2528,22.0052,0.3328,33.28,0.004712,10000
(λ lt 4 (count_color $0 RED)),15.2528,22.0052,0.0937,9.37,0.002914,10000
(λ lt 4 (count_color $0 BLACK)),15.2528,22.0052,0.0926,9.26,0.002899,10000
(λ gt (count_suit $0 CLUBS) 1),15.5041,22.3678,0.4708,47.08,0.004991,10000
(λ gt (count_suit $0 CLUBS) 2),15.5041,22.3678,0.1584,15.84,0.003651,10000
(λ gt (count_suit $0 DIAMONDS) 1),15.5041,22.3678,0.4733,47.33,0.004993,10000
(λ gt (count_suit $0 DIAMONDS) 2),15.5041,22.3678,0.1517,15.17,0.003587,10000
(λ gt (count_suit $0 HEARTS) 1),15.5041,22.3678,0.4759,47.59,0.004994,10000
(λ gt (count_suit $0 HEARTS) 2),15.5041,22.3678,0.1588,15.88,0.003655,10000
(λ gt (count_suit $0 SPADES) 1),15.5041,22.3678,0.4753,47.53,0.004994,10000
(λ gt (count_suit $0 SPADES) 2),15.5041,22.3678,0.1628,16.28,0.003692,10000
(λ lt (n_unique_suits (first_half $0)) 2),15.7918,22.7828,0.0486,4.86,0.00215,10000
(λ lt (n_unique_suits (second_half $0)) 2),15.7918,22.7828,0.0514,5.14,0.002208,10000
(λ lt (n_unique_ranks (first_half $0)) 3),15.7918,22.7828,0.1709,17.09,0.003764,10000
(λ lt (n_unique_ranks (second_half $0)) 3),15.7918,22.7828,0.1711,17.11,0.003766,10000
(λ lt (n_unique_colors (first_half $0)) 2),15.7918,22.7828,0.23,23.0,0.004208,10000
(λ lt (n_unique_colors (second_half $0)) 2),15.7918,22.7828,0.232,23.2,0.004221,10000
(λ lt (min_rank (first_half $0)) 3),15.7918,22.7828,0.2123,21.23,0.004089,10000
(λ lt (min_rank (first_half $0)) 4),15.7918,22.7828,0.403,40.3,0.004905,10000
(λ lt (min_rank (second_half $0)) 3),15.7918,22.7828,0.2184,21.84,0.004132,10000
(λ lt (min_rank (second_half $0)) 4),15.7918,22.7828,0.3982,39.82,0.004895,10000
(λ gt (n_unique_suits (first_half $0)) 2),15.7918,22.7828,0.3977,39.77,0.004894,10000
(λ gt (n_unique_suits (second_half $0)) 2),15.7918,22.7828,0.3896,38.96,0.004877,10000
(λ gt (min_rank (first_half $0)) 4),15.7918,22.7828,0.4479,44.79,0.004973,10000
(λ gt (min_rank (first_half $0)) 5),15.7918,22.7828,0.3254,32.54,0.004685,10000
(λ gt (min_rank (second_half $0)) 4),15.7918,22.7828,0.447,44.7,0.004972,10000
(λ gt (min_rank (second_half $0)) 5),15.7918,22.7828,0.3213,32.13,0.00467,10000
(λ has_color (first_half (reverse (first_half $0))) RED),16.3514,23.5901,0.4955,49.55,0.005,10000
(λ has_color (first_half (second_half (first_half $0))) RED),16.3514,23.5901,0.4951,49.51,0.005,10000
(λ has_color (first_half (second_half (second_half $0))) BLACK),16.3514,23.5901,0.4992,49.92,0.005,10000
(λ has_suit (first_half (reverse (first_half $0))) CLUBS),16.6028,23.9527,0.2524,25.24,0.004344,10000
(λ has_suit (first_half (reverse (first_half $0))) DIAMONDS),16.6028,23.9527,0.2486,24.86,0.004322,10000
(λ has_suit (first_half (reverse (first_half $0))) HEARTS),16.6028,23.9527,0.2469,24.69,0.004312,10000
(λ has_suit (first_half (reverse (first_half $0))) SPADES),16.6028,23.9527,0.2521,25.21,0.004342,10000
(λ has_suit (first_half (second_half (first_half $0))) CLUBS),16.6028,23.9527,0.2514,25.14,0.004338,10000
(λ has_suit (first_half (second_half (first_half $0))) DIAMONDS),16.6028,23.9527,0.2451,24.51,0.004301,10000
(λ has_suit (first_half (second_half (first_half $0))) HEARTS),16.6028,23.9527,0.25,25.0,0.00433,10000
(λ has_suit (first_half (second_half (first_half $0))) SPADES),16.6028,23.9527,0.2535,25.35,0.00435,10000
(λ has_suit (first_half (second_half (second_half $0))) CLUBS),16.6028,23.9527,0.2436,24.36,0.004293,10000
(λ has_suit (first_half (second_half (second_half $0))) DIAMONDS),16.6028,23.9527,0.2555,25.55,0.004361,10000
(λ has_suit (first_half (second_half (second_half $0))) HEARTS),16.6028,23.9527,0.2453,24.53,0.004303,10000
(λ has_suit (first_half (second_half (second_half $0))) SPADES),16.6028,23.9527,0.2556,25.56,0.004362,10000
(λ has_suit (second_half (reverse (second_half $0))) CLUBS),16.6028,23.9527,0.4348,43.48,0.004957,10000
(λ has_suit (second_half (reverse (second_half $0))) DIAMONDS),16.6028,23.9527,0.4472,44.72,0.004972,10000
(λ has_suit (second_half (reverse (second_half $0))) HEARTS),16.6028,23.9527,0.4355,43.55,0.004958,10000
(λ has_suit (second_half (reverse (second_half $0))) SPADES),16.6028,23.9527,0.4428,44.28,0.004967,10000
(λ not (has_color (second_half (first_half $0)) RED)),16.7569,24.1751,0.247,24.7,0.004313,10000
(λ not (has_color (second_half (first_half $0)) BLACK)),16.7569,24.1751,0.2376,23.76,0.004256,10000
(λ not (has_color (second_half (second_half $0)) RED)),16.7569,24.1751,0.2387,23.87,0.004263,10000
(λ not (has_color (second_half (second_half $0)) BLACK)),16.7569,24.1751,0.2495,24.95,0.004327,10000
(λ has_suit (head (second_half (adjacent_pairs $0))) CLUBS),16.7628,24.1837,0.4407,44.07,0.004965,10000
(λ has_suit (head (second_half (adjacent_pairs $0))) DIAMONDS),16.7628,24.1837,0.4387,43.87,0.004962,10000
(λ has_suit (head (second_half (adjacent_pairs $0))) HEARTS),16.7628,24.1837,0.4385,43.85,0.004962,10000
(λ has_suit (head (second_half (adjacent_pairs $0))) SPADES),16.7628,24.1837,0.4411,44.11,0.004965,10000
(λ not (has_color (head (adjacent_pairs $0)) RED)),16.837,24.2906,0.2501,25.01,0.004331,10000
(λ not (has_color (head (adjacent_pairs $0)) BLACK)),16.837,24.2906,0.2421,24.21,0.004284,10000
(λ lt (rank_val (head (second_half $0))) 3),17.1781,24.7828,0.0782,7.82,0.002685,10000
(λ lt (rank_val (head (second_half $0))) 4),17.1781,24.7828,0.154,15.4,0.003609,10000
(λ lt (rank_val (head (second_half $0))) 5),17.1781,24.7828,0.227,22.7,0.004189,10000
(λ lt (rank_val (last (first_half $0))) 3),17.1781,24.7828,0.0756,7.56,0.002644,10000
(λ lt (rank_val (last (first_half $0))) 4),17.1781,24.7828,0.1564,15.64,0.003632,10000
(λ lt (rank_val (last (first_half $0))) 5),17.1781,24.7828,0.2295,22.95,0.004205,10000
(λ le (rank_val (head (second_half $0))) 5),17.1781,24.7828,0.3053,30.53,0.004605,10000
(λ le (rank_val (last (first_half $0))) 5),17.1781,24.7828,0.3043,30.43,0.004601,10000
(λ lt (length $0) (min_rank $0)),17.3674,25.0558,0.047,4.7,0.002116,10000
(λ lt (n_unique_suits $0) (min_rank $0)),17.3674,25.0558,0.2985,29.85,0.004576,10000
(λ lt (n_unique_ranks $0) (min_rank $0)),17.3674,25.0558,0.1087,10.87,0.003113,10000
(λ lt (min_rank $0) (n_unique_suits $0)),17.3674,25.0558,0.473,47.3,0.004993,10000
(λ le (n_unique_suits $0) (n_unique_colors $0)),17.3674,25.0558,0.0473,4.73,0.002123,10000
(λ le (n_unique_ranks $0) (n_unique_suits $0)),17.3674,25.0558,0.0919,9.19,0.002889,10000
(λ le (n_unique_ranks $0) (min_rank $0)),17.3674,25.0558,0.1978,19.78,0.003983,10000
(λ le (min_rank $0) (n_unique_colors $0)),17.3674,25.0558,0.3858,38.58,0.004868,10000
(λ not (has_color (take 4 $0) RED)),17.4501,25.1751,0.0566,5.66,0.002311,10000
(λ not (has_color (take 4 $0) BLACK)),17.4501,25.1751,0.0501,5.01,0.002182,10000
(λ not (has_color (drop 2 $0) RED)),17.4501,25.1751,0.0533,5.33,0.002246,10000
(λ not (has_color (drop 2 $0) BLACK)),17.4501,25.1751,0.0533,5.33,0.002246,10000
(λ not (has_suit (take 4 $0) CLUBS)),17.7014,25.5377,0.3055,30.55,0.004606,10000
(λ not (has_suit (take 4 $0) DIAMONDS)),17.7014,25.5377,0.3082,30.82,0.004617,10000
(λ not (has_suit (take 4 $0) HEARTS)),17.7014,25.5377,0.2995,29.95,0.00458,10000
(λ not (has_suit (take 4 $0) SPADES)),17.7014,25.5377,0.3053,30.53,0.004605,10000
(λ not (has_suit (take 5 $0) CLUBS)),17.7014,25.5377,0.2253,22.53,0.004178,10000
(λ not (has_suit (take 5 $0) DIAMONDS)),17.7014,25.5377,0.2221,22.21,0.004157,10000
(λ not (has_suit (take 5 $0) HEARTS)),17.7014,25.5377,0.2204,22.04,0.004145,10000
(λ not (has_suit (take 5 $0) SPADES)),17.7014,25.5377,0.2204,22.04,0.004145,10000
(λ not (has_suit (drop 1 $0) CLUBS)),17.7014,25.5377,0.2269,22.69,0.004188,10000
(λ not (has_suit (drop 1 $0) DIAMONDS)),17.7014,25.5377,0.2171,21.71,0.004123,10000
(λ not (has_suit (drop 1 $0) HEARTS)),17.7014,25.5377,0.2247,22.47,0.004174,10000
(λ not (has_suit (drop 1 $0) SPADES)),17.7014,25.5377,0.2235,22.35,0.004166,10000
(λ not (has_suit (drop 2 $0) CLUBS)),17.7014,25.5377,0.3084,30.84,0.004618,10000
(λ not (has_suit (drop 2 $0) DIAMONDS)),17.7014,25.5377,0.3025,30.25,0.004593,10000
(λ not (has_suit (drop 2 $0) HEARTS)),17.7014,25.5377,0.3043,30.43,0.004601,10000
(λ not (has_suit (drop 2 $0) SPADES)),17.7014,25.5377,0.3031,30.31,0.004596,10000
(λ lt 1 (count_color (first_half $0) RED)),17.7377,25.5901,0.4931,49.31,0.005,10000
(λ lt 1 (count_color (second_half $0) BLACK)),17.7377,25.5901,0.4967,49.67,0.005,10000
(λ lt (rank_val (at $0 1)) 3),17.8713,25.7828,0.0746,7.46,0.002627,10000
(λ lt (rank_val (at $0 1)) 4),17.8713,25.7828,0.1504,15.04,0.003575,10000
(λ lt (rank_val (at $0 1)) 5),17.8713,25.7828,0.2284,22.84,0.004198,10000
(λ lt (rank_val (at $0 4)) 3),17.8713,25.7828,0.0738,7.38,0.002614,10000
(λ lt (rank_val (at $0 4)) 4),17.8713,25.7828,0.1475,14.75,0.003546,10000
(λ lt (rank_val (at $0 4)) 5),17.8713,25.7828,0.2296,22.96,0.004206,10000
(λ le (rank_val (at $0 1)) 5),17.8713,25.7828,0.3066,30.66,0.004611,10000
(λ le (rank_val (at $0 4)) 5),17.8713,25.7828,0.3074,30.74,0.004614,10000
(λ gt (count_suit (first_half $0) CLUBS) 1),17.9891,25.9527,0.1543,15.43,0.003612,10000
(λ gt (count_suit (first_half $0) DIAMONDS) 1),17.9891,25.9527,0.1453,14.53,0.003524,10000
(λ gt (count_suit (first_half $0) HEARTS) 1),17.9891,25.9527,0.1485,14.85,0.003556,10000
(λ gt (count_suit (first_half $0) SPADES) 1),17.9891,25.9527,0.1542,15.42,0.003611,10000
(λ gt (count_suit (second_half $0) CLUBS) 1),17.9891,25.9527,0.1463,14.63,0.003534,10000
(λ gt (count_suit (second_half $0) DIAMONDS) 1),17.9891,25.9527,0.151,15.1,0.00358,10000
(λ gt (count_suit (second_half $0) HEARTS) 1),17.9891,25.9527,0.1588,15.88,0.003655,10000
(λ gt (count_suit (second_half $0) SPADES) 1),17.9891,25.9527,0.1543,15.43,0.003612,10000
(λ lt (n_unique_suits (second_half (first_half $0))) 2),18.2767,26.3678,0.2399,23.99,0.00427,10000
(λ lt (n_unique_suits (second_half (second_half $0))) 2),18.2767,26.3678,0.236,23.6,0.004246,10000
(λ lt (n_unique_ranks (second_half (first_half $0))) 2),18.2767,26.3678,0.056,5.6,0.002299,10000
(λ lt (n_unique_ranks (second_half (second_half $0))) 2),18.2767,26.3678,0.0581,5.81,0.002339,10000
(λ lt (n_unique_colors (second_half (first_half $0))) 2),18.2767,26.3678,0.4846,48.46,0.004998,10000
(λ lt (n_unique_colors (second_half (second_half $0))) 2),18.2767,26.3678,0.4882,48.82,0.004999,10000
(λ lt (min_rank (second_half (first_half $0))) 3),18.2767,26.3678,0.1468,14.68,0.003539,10000
(λ lt (min_rank (second_half (first_half $0))) 4),18.2767,26.3678,0.2875,28.75,0.004526,10000
(λ lt (min_rank (second_half (first_half $0))) 5),18.2767,26.3678,0.4084,40.84,0.004915,10000
(λ lt (min_rank (second_half (second_half $0))) 3),18.2767,26.3678,0.1476,14.76,0.003547,10000
(λ lt (min_rank (second_half (second_half $0))) 4),18.2767,26.3678,0.2818,28.18,0.004499,10000
(λ lt (min_rank (second_half (second_half $0))) 5),18.2767,26.3678,0.4156,41.56,0.004928,10000
(λ le (max_rank (second_half (first_half $0))) 5),18.2767,26.3678,0.0902,9.02,0.002865,10000
(λ le (max_rank (second_half (second_half $0))) 5),18.2767,26.3678,0.0924,9.24,0.002896,10000
(λ gt (min_rank (second_half (first_half $0))) 5),18.2767,26.3678,0.4793,47.93,0.004996,10000
(λ gt (min_rank (second_half (second_half $0))) 5),18.2767,26.3678,0.472,47.2,0.004992,10000
(λ lt (n_unique_suits (head (adjacent_pairs $0))) 2),18.3568,26.4832,0.2348,23.48,0.004239,10000
(λ lt (n_unique_ranks (head (adjacent_pairs $0))) 2),18.3568,26.4832,0.061,6.1,0.002393,10000
(λ lt (n_unique_colors (head (adjacent_pairs $0))) 2),18.3568,26.4832,0.4922,49.22,0.004999,10000
(λ lt (max_rank (head (adjacent_pairs $0))) 5),18.3568,26.4832,0.0468,4.68,0.002112,10000
(λ lt (min_rank (head (adjacent_pairs $0))) 3),18.3568,26.4832,0.1445,14.45,0.003516,10000
(λ lt (min_rank (head (adjacent_pairs $0))) 4),18.3568,26.4832,0.2846,28.46,0.004512,10000
(λ lt (min_rank (head (adjacent_pairs $0))) 5),18.3568,26.4832,0.4116,41.16,0.004921,10000
(λ le (max_rank (head (adjacent_pairs $0))) 5),18.3568,26.4832,0.0871,8.71,0.00282,10000
(λ gt (min_rank (head (adjacent_pairs $0))) 5),18.3568,26.4832,0.4751,47.51,0.004994,10000
(λ has_color (drop (n_unique_ranks $0) $0) RED),18.6201,26.8632,0.3719,37.19,0.004833,10000
(λ has_color (drop (n_unique_ranks $0) $0) BLACK),18.6201,26.8632,0.3691,36.91,0.004826,10000
(λ lt (rank_val (head $0)) (n_unique_suits $0)),18.7537,27.0558,0.102,10.2,0.003026,10000
(λ lt (rank_val (head $0)) (n_unique_ranks $0)),18.7537,27.0558,0.2431,24.31,0.00429,10000
(λ lt (rank_val (last $0)) (n_unique_suits $0)),18.7537,27.0558,0.1057,10.57,0.003075,10000
(λ lt (rank_val (last $0)) (n_unique_ranks $0)),18.7537,27.0558,0.2467,24.67,0.004311,10000
(λ le (max_rank $0) (rank_val (head $0))),18.7537,27.0558,0.1999,19.99,0.003999,10000
(λ le (max_rank $0) (rank_val (last $0))),18.7537,27.0558,0.193,19.3,0.003947,10000
(λ le (rank_val (head $0)) (length $0)),18.7537,27.0558,0.3811,38.11,0.004857,10000
(λ le (rank_val (head $0)) (n_unique_suits $0)),18.7537,27.0558,0.1837,18.37,0.003872,10000
(λ le (rank_val (head $0)) (n_unique_ranks $0)),18.7537,27.0558,0.3188,31.88,0.00466,10000
