program,cost,dl_bits,base_rate,base_rate_pct,base_rate_se,n_valid
(λ gt (count_suit (second_half (first_half $0)) DIAMONDS) 1),20.474,29.5377,0.0552,5.52,0.002284,10000
(λ gt (count_suit (second_half (first_half $0)) HEARTS) 1),20.474,29.5377,0.0595,5.95,0.002366,10000
(λ gt (count_suit (second_half (first_half $0)) SPADES) 1),20.474,29.5377,0.0629,6.29,0.002428,10000
(λ gt (count_suit (second_half (second_half $0)) CLUBS) 1),20.474,29.5377,0.0535,5.35,0.00225,10000
(λ gt (count_suit (second_half (second_half $0)) DIAMONDS) 1),20.474,29.5377,0.0592,5.92,0.00236,10000
(λ gt (count_suit (second_half (second_half $0)) HEARTS) 1),20.474,29.5377,0.0611,6.11,0.002395,10000
(λ gt (count_suit (second_half (second_half $0)) SPADES) 1),20.474,29.5377,0.0622,6.22,0.002415,10000
(λ gt (count_suit (head (adjacent_pairs $0)) CLUBS) 1),20.554,29.6532,0.0604,6.04,0.002382,10000
(λ gt (count_suit (head (adjacent_pairs $0)) DIAMONDS) 1),20.554,29.6532,0.0578,5.78,0.002334,10000
(λ gt (count_suit (head (adjacent_pairs $0)) HEARTS) 1),20.554,29.6532,0.0555,5.55,0.00229,10000
(λ gt (count_suit (head (adjacent_pairs $0)) SPADES) 1),20.554,29.6532,0.0611,6.11,0.002395,10000
(λ lt (count_color $0 (get_color (head $0))) 3),20.6996,29.8632,0.1827,18.27,0.003864,10000
(λ lt (count_color $0 (get_color (last $0))) 3),20.6996,29.8632,0.1872,18.72,0.003901,10000
(λ gt (count_color $0 (get_color (head $0))) 3),20.6996,29.8632,0.4832,48.32,0.004997,10000
(λ gt (count_color $0 (get_color (head $0))) 4),20.6996,29.8632,0.1603,16.03,0.003669,10000
(λ gt (count_color $0 (get_color (last $0))) 3),20.6996,29.8632,0.4787,47.87,0.004995,10000
(λ gt (count_color $0 (get_color (last $0))) 4),20.6996,29.8632,0.1604,16.04,0.00367,10000
(λ lt (rank_val (head $0)) (count_color $0 RED)),20.6996,29.8632,0.0832,8.32,0.002762,10000
(λ lt (rank_val (head $0)) (count_color $0 BLACK)),20.6996,29.8632,0.0854,8.54,0.002795,10000
(λ lt (rank_val (last $0)) (count_color $0 RED)),20.6996,29.8632,0.0881,8.81,0.002834,10000
(λ lt (rank_val (last $0)) (count_color $0 BLACK)),20.6996,29.8632,0.0856,8.56,0.002798,10000
(λ le (rank_val (head $0)) (count_color $0 RED)),20.6996,29.8632,0.1513,15.13,0.003583,10000
(λ le (rank_val (head $0)) (count_color $0 BLACK)),20.6996,29.8632,0.1533,15.33,0.003603,10000
(λ le (rank_val (last $0)) (count_color $0 RED)),20.6996,29.8632,0.1604,16.04,0.00367,10000
(λ le (rank_val (last $0)) (count_color $0 BLACK)),20.6996,29.8632,0.1562,15.62,0.00363,10000
(λ lt (n_unique_suits (second_half (reverse (second_half $0)))) 2),20.7616,29.9527,0.2397,23.97,0.004269,10000
(λ lt (n_unique_ranks (second_half (reverse (second_half $0)))) 2),20.7616,29.9527,0.0583,5.83,0.002343,10000
(λ lt (n_unique_colors (second_half (reverse (second_half $0)))) 2),20.7616,29.9527,0.4883,48.83,0.004999,10000
(λ lt (max_rank (second_half (reverse (second_half $0)))) 5),20.7616,29.9527,0.0487,4.87,0.002152,10000
(λ lt (min_rank (second_half (reverse (second_half $0)))) 3),20.7616,29.9527,0.1486,14.86,0.003557,10000
(λ lt (min_rank (second_half (reverse (second_half $0)))) 4),20.7616,29.9527,0.2816,28.16,0.004498,10000
(λ lt (min_rank (second_half (reverse (second_half $0)))) 5),20.7616,29.9527,0.4079,40.79,0.004914,10000
(λ le (max_rank (second_half (reverse (second_half $0)))) 5),20.7616,29.9527,0.0896,8.96,0.002856,10000
(λ gt (min_rank (second_half (reverse (second_half $0)))) 5),20.7616,29.9527,0.4769,47.69,0.004995,10000
(λ lt 2 (count_color (take 4 $0) RED)),20.9158,30.1751,0.301,30.1,0.004587,10000
(λ lt 2 (count_color (take 4 $0) BLACK)),20.9158,30.1751,0.3067,30.67,0.004611,10000
(λ lt 2 (count_color (take 5 $0) RED)),20.9158,30.1751,0.4981,49.81,0.005,10000
(λ lt 2 (count_color (drop 1 $0) RED)),20.9158,30.1751,0.4993,49.93,0.005,10000
(λ lt 2 (count_color (drop 2 $0) RED)),20.9158,30.1751,0.3061,30.61,0.004609,10000
(λ lt 2 (count_color (drop 2 $0) BLACK)),20.9158,30.1751,0.2995,29.95,0.00458,10000
(λ lt 3 (count_color (take 5 $0) RED)),20.9158,30.1751,0.1707,17.07,0.003762,10000
(λ lt 3 (count_color (take 5 $0) BLACK)),20.9158,30.1751,0.1769,17.69,0.003816,10000
(λ lt 3 (count_color (drop 1 $0) RED)),20.9158,30.1751,0.1739,17.39,0.00379,10000
(λ lt 3 (count_color (drop 1 $0) BLACK)),20.9158,30.1751,0.1691,16.91,0.003748,10000
(λ lt (n_unique_suits (head (second_half (adjacent_pairs $0)))) 2),20.9217,30.1837,0.241,24.1,0.004277,10000
(λ lt (n_unique_ranks (head (second_half (adjacent_pairs $0)))) 2),20.9217,30.1837,0.0573,5.73,0.002324,10000
(λ lt (n_unique_colors (head (second_half (adjacent_pairs $0)))) 2),20.9217,30.1837,0.4916,49.16,0.004999,10000
(λ lt (max_rank (head (second_half (adjacent_pairs $0)))) 5),20.9217,30.1837,0.0507,5.07,0.002194,10000
(λ lt (min_rank (head (second_half (adjacent_pairs $0)))) 3),20.9217,30.1837,0.1487,14.87,0.003558,10000
(λ lt (min_rank (head (second_half (adjacent_pairs $0)))) 4),20.9217,30.1837,0.288,28.8,0.004528,10000
(λ lt (min_rank (head (second_half (adjacent_pairs $0)))) 5),20.9217,30.1837,0.4058,40.58,0.00491,10000
(λ le (max_rank (head (second_half (adjacent_pairs $0)))) 5),20.9217,30.1837,0.0885,8.85,0.00284,10000
(λ gt (min_rank (head (second_half (adjacent_pairs $0)))) 5),20.9217,30.1837,0.4789,47.89,0.004996,10000
(λ lt (count_suit $0 (get_suit (head $0))) 2),20.9509,30.2257,0.2422,24.22,0.004284,10000
(λ lt (count_suit $0 (get_suit (last $0))) 2),20.9509,30.2257,0.2382,23.82,0.00426,10000
(λ gt (count_suit $0 (get_suit (head $0))) 2),20.9509,30.2257,0.3308,33.08,0.004705,10000
(λ gt (count_suit $0 (get_suit (head $0))) 3),20.9509,30.2257,0.076,7.6,0.00265,10000
(λ gt (count_suit $0 (get_suit (last $0))) 2),20.9509,30.2257,0.3408,34.08,0.00474,10000
(λ gt (count_suit $0 (get_suit (last $0))) 3),20.9509,30.2257,0.0779,7.79,0.00268,10000
(λ ge (count_suit $0 CLUBS) (rank_val (head $0))),20.9509,30.2257,0.0536,5.36,0.002252,10000
(λ ge (count_suit $0 CLUBS) (rank_val (last $0))),20.9509,30.2257,0.0523,5.23,0.002226,10000
(λ ge (count_suit $0 DIAMONDS) (rank_val (head $0))),20.9509,30.2257,0.0487,4.87,0.002152,10000
(λ ge (count_suit $0 DIAMONDS) (rank_val (last $0))),20.9509,30.2257,0.0493,4.93,0.002165,10000
(λ ge (count_suit $0 HEARTS) (rank_val (head $0))),20.9509,30.2257,0.0468,4.68,0.002112,10000
(λ ge (count_suit $0 HEARTS) (rank_val (last $0))),20.9509,30.2257,0.0552,5.52,0.002284,10000
(λ ge (count_suit $0 SPADES) (rank_val (head $0))),20.9509,30.2257,0.0484,4.84,0.002146,10000
(λ ge (count_suit $0 SPADES) (rank_val (last $0))),20.9509,30.2257,0.051,5.1,0.0022,10000
(λ lt (+ 3 5) (rank_val (head $0))),21.0493,30.3678,0.4621,46.21,0.004986,10000
(λ lt (+ 3 5) (rank_val (last $0))),21.0493,30.3678,0.4588,45.88,0.004983,10000
(λ lt (+ 4 5) (rank_val (head $0))),21.0493,30.3678,0.3898,38.98,0.004877,10000
(λ lt (+ 4 5) (rank_val (last $0))),21.0493,30.3678,0.3845,38.45,0.004865,10000
(λ lt (+ 5 5) (rank_val (head $0))),21.0493,30.3678,0.3122,31.22,0.004634,10000
(λ lt (+ 5 5) (rank_val (last $0))),21.0493,30.3678,0.3041,30.41,0.0046,10000
(λ lt (- (rank_val (head $0)) 3) 5),21.0493,30.3678,0.462,46.2,0.004986,10000
(λ lt (- (rank_val (last $0)) 3) 5),21.0493,30.3678,0.4682,46.82,0.00499,10000
(λ lt (mod 3 (rank_val (head $0))) 1),21.0493,30.3678,0.0788,7.88,0.002694,10000
(λ lt (mod 3 (rank_val (last $0))) 1),21.0493,30.3678,0.0775,7.75,0.002674,10000
(λ lt (mod 4 (rank_val (head $0))) 1),21.0493,30.3678,0.1512,15.12,0.003582,10000
(λ lt (mod 4 (rank_val (last $0))) 1),21.0493,30.3678,0.1608,16.08,0.003673,10000
(λ lt (mod 5 (rank_val (head $0))) 1),21.0493,30.3678,0.0754,7.54,0.00264,10000
(λ lt (mod 5 (rank_val (head $0))) 2),21.0493,30.3678,0.2266,22.66,0.004186,10000
(λ lt (mod 5 (rank_val (last $0))) 1),21.0493,30.3678,0.0747,7.47,0.002629,10000
(λ lt (mod 5 (rank_val (last $0))) 2),21.0493,30.3678,0.2355,23.55,0.004243,10000
(λ lt (mod (rank_val (head $0)) 3) 1),21.0493,30.3678,0.2991,29.91,0.004579,10000
(λ lt (mod (rank_val (head $0)) 4) 1),21.0493,30.3678,0.225,22.5,0.004176,10000
(λ lt (mod (rank_val (head $0)) 4) 2),21.0493,30.3678,0.4496,44.96,0.004975,10000
(λ lt (mod (rank_val (head $0)) 5) 1),21.0493,30.3678,0.153,15.3,0.0036,10000
(λ lt (mod (rank_val (head $0)) 5) 2),21.0493,30.3678,0.308,30.8,0.004617,10000
(λ lt (mod (rank_val (last $0)) 3) 1),21.0493,30.3678,0.3006,30.06,0.004585,10000
(λ lt (mod (rank_val (last $0)) 4) 1),21.0493,30.3678,0.2298,22.98,0.004207,10000
(λ lt (mod (rank_val (last $0)) 4) 2),21.0493,30.3678,0.4529,45.29,0.004978,10000
(λ lt (mod (rank_val (last $0)) 5) 1),21.0493,30.3678,0.1551,15.51,0.00362,10000
(λ lt (mod (rank_val (last $0)) 5) 2),21.0493,30.3678,0.3074,30.74,0.004614,10000
(λ gt (mod (rank_val (head $0)) 2) 0),21.0493,30.3678,0.4636,46.36,0.004987,10000
(λ gt (mod (rank_val (head $0)) 3) 1),21.0493,30.3678,0.3887,38.87,0.004875,10000
(λ gt (mod (rank_val (head $0)) 4) 2),21.0493,30.3678,0.239,23.9,0.004265,10000
(λ gt (mod (rank_val (head $0)) 5) 2),21.0493,30.3678,0.4644,46.44,0.004987,10000
(λ gt (mod (rank_val (head $0)) 5) 3),21.0493,30.3678,0.2328,23.28,0.004226,10000
(λ gt (mod (rank_val (last $0)) 2) 0),21.0493,30.3678,0.4575,45.75,0.004982,10000
(λ gt (mod (rank_val (last $0)) 3) 1),21.0493,30.3678,0.3817,38.17,0.004858,10000
(λ gt (mod (rank_val (last $0)) 4) 2),21.0493,30.3678,0.2344,23.44,0.004236,10000
(λ gt (mod (rank_val (last $0)) 5) 2),21.0493,30.3678,0.4617,46.17,0.004985,10000
(λ gt (mod (rank_val (last $0)) 5) 3),21.0493,30.3678,0.2371,23.71,0.004253,10000
(λ has_suit (take (count_suit $0 CLUBS) $0) CLUBS),21.0687,30.3957,0.4037,40.37,0.004906,10000
(λ has_suit (take (count_suit $0 CLUBS) $0) DIAMONDS),21.0687,30.3957,0.2873,28.73,0.004525,10000
(λ has_suit (take (count_suit $0 CLUBS) $0) HEARTS),21.0687,30.3957,0.298,29.8,0.004574,10000
(λ has_suit (take (count_suit $0 CLUBS) $0) SPADES),21.0687,30.3957,0.2941,29.41,0.004556,10000
(λ has_suit (take (count_suit $0 DIAMONDS) $0) CLUBS),21.0687,30.3957,0.3013,30.13,0.004588,10000
(λ has_suit (take (count_suit $0 DIAMONDS) $0) DIAMONDS),21.0687,30.3957,0.3932,39.32,0.004885,10000
(λ has_suit (take (count_suit $0 DIAMONDS) $0) HEARTS),21.0687,30.3957,0.2995,29.95,0.00458,10000
(λ has_suit (take (count_suit $0 DIAMONDS) $0) SPADES),21.0687,30.3957,0.2942,29.42,0.004557,10000
(λ has_suit (take (count_suit $0 HEARTS) $0) CLUBS),21.0687,30.3957,0.299,29.9,0.004578,10000
(λ has_suit (take (count_suit $0 HEARTS) $0) DIAMONDS),21.0687,30.3957,0.2917,29.17,0.004545,10000
(λ has_suit (take (count_suit $0 HEARTS) $0) HEARTS),21.0687,30.3957,0.4056,40.56,0.00491,10000
(λ has_suit (take (count_suit $0 HEARTS) $0) SPADES),21.0687,30.3957,0.3007,30.07,0.004586,10000
(λ has_suit (take (count_suit $0 SPADES) $0) CLUBS),21.0687,30.3957,0.296,29.6,0.004565,10000
(λ has_suit (take (count_suit $0 SPADES) $0) DIAMONDS),21.0687,30.3957,0.2963,29.63,0.004566,10000
(λ has_suit (take (count_suit $0 SPADES) $0) HEARTS),21.0687,30.3957,0.2935,29.35,0.004554,10000
(λ has_suit (take (count_suit $0 SPADES) $0) SPADES),21.0687,30.3957,0.4054,40.54,0.00491,10000
(λ has_color (drop (n_unique_suits $0) (first_half $0)) RED),21.105,30.4481,0.0326,3.26,0.001776,10000
(λ has_color (drop (n_unique_suits $0) (second_half $0)) BLACK),21.105,30.4481,0.0373,3.73,0.001895,10000
(λ has_color (drop (n_unique_ranks $0) (reverse $0)) RED),21.105,30.4481,0.3692,36.92,0.004826,10000
(λ has_color (drop (n_unique_ranks $0) (reverse $0)) BLACK),21.105,30.4481,0.3716,37.16,0.004832,10000
(λ has_color (drop (min_rank $0) (first_half $0)) RED),21.105,30.4481,0.1948,19.48,0.00396,10000
(λ has_color (drop (min_rank $0) (first_half $0)) BLACK),21.105,30.4481,0.2005,20.05,0.004004,10000
(λ has_color (drop (min_rank $0) (second_half $0)) RED),21.105,30.4481,0.2052,20.52,0.004038,10000
(λ has_color (drop (min_rank $0) (second_half $0)) BLACK),21.105,30.4481,0.1901,19.01,0.003924,10000
(λ has_color (first_half (take (n_unique_colors $0) $0)) RED),21.105,30.4481,0.4871,48.71,0.004998,10000
(λ has_color (first_half (take (n_unique_colors $0) $0)) BLACK),21.105,30.4481,0.4905,49.05,0.004999,10000
(λ has_color (first_half (drop (n_unique_ranks $0) $0)) RED),21.105,30.4481,0.0844,8.44,0.00278,10000
(λ has_color (first_half (drop (n_unique_ranks $0) $0)) BLACK),21.105,30.4481,0.0889,8.89,0.002846,10000
(λ has_color (first_half (drop (min_rank $0) $0)) BLACK),21.105,30.4481,0.4994,49.94,0.005,10000
(λ has_color (second_half (drop (n_unique_ranks $0) $0)) RED),21.105,30.4481,0.3298,32.98,0.004701,10000
(λ has_color (second_half (drop (n_unique_ranks $0) $0)) BLACK),21.105,30.4481,0.3231,32.31,0.004677,10000
(λ gt (count_suit (take 4 $0) CLUBS) 1),21.1671,30.5377,0.2631,26.31,0.004403,10000
(λ gt (count_suit (take 4 $0) CLUBS) 2),21.1671,30.5377,0.0472,4.72,0.002121,10000
(λ gt (count_suit (take 4 $0) DIAMONDS) 1),21.1671,30.5377,0.2559,25.59,0.004364,10000
(λ gt (count_suit (take 4 $0) DIAMONDS) 2),21.1671,30.5377,0.04,4.0,0.00196,10000
(λ gt (count_suit (take 4 $0) HEARTS) 1),21.1671,30.5377,0.2522,25.22,0.004343,10000
(λ gt (count_suit (take 4 $0) HEARTS) 2),21.1671,30.5377,0.0441,4.41,0.002053,10000
(λ gt (count_suit (take 4 $0) SPADES) 1),21.1671,30.5377,0.2638,26.38,0.004407,10000
(λ gt (count_suit (take 4 $0) SPADES) 2),21.1671,30.5377,0.0443,4.43,0.002058,10000
(λ gt (count_suit (take 5 $0) CLUBS) 1),21.1671,30.5377,0.3695,36.95,0.004827,10000
(λ gt (count_suit (take 5 $0) CLUBS) 2),21.1671,30.5377,0.0943,9.43,0.002922,10000
(λ gt (count_suit (take 5 $0) DIAMONDS) 1),21.1671,30.5377,0.3684,36.84,0.004824,10000
(λ gt (count_suit (take 5 $0) DIAMONDS) 2),21.1671,30.5377,0.0877,8.77,0.002829,10000
(λ gt (count_suit (take 5 $0) HEARTS) 1),21.1671,30.5377,0.3623,36.23,0.004807,10000
(λ gt (count_suit (take 5 $0) HEARTS) 2),21.1671,30.5377,0.0913,9.13,0.00288,10000
(λ gt (count_suit (take 5 $0) SPADES) 1),21.1671,30.5377,0.3741,37.41,0.004839,10000
(λ gt (count_suit (take 5 $0) SPADES) 2),21.1671,30.5377,0.0955,9.55,0.002939,10000
(λ gt (count_suit (drop 1 $0) CLUBS) 1),21.1671,30.5377,0.3617,36.17,0.004805,10000
(λ gt (count_suit (drop 1 $0) CLUBS) 2),21.1671,30.5377,0.0965,9.65,0.002953,10000
(λ gt (count_suit (drop 1 $0) DIAMONDS) 1),21.1671,30.5377,0.3635,36.35,0.00481,10000
(λ gt (count_suit (drop 1 $0) DIAMONDS) 2),21.1671,30.5377,0.0908,9.08,0.002873,10000
(λ gt (count_suit (drop 1 $0) HEARTS) 1),21.1671,30.5377,0.373,37.3,0.004836,10000
(λ gt (count_suit (drop 1 $0) HEARTS) 2),21.1671,30.5377,0.0933,9.33,0.002909,10000
(λ gt (count_suit (drop 1 $0) SPADES) 1),21.1671,30.5377,0.3701,37.01,0.004828,10000
(λ gt (count_suit (drop 1 $0) SPADES) 2),21.1671,30.5377,0.0963,9.63,0.00295,10000
(λ gt (count_suit (drop 2 $0) CLUBS) 1),21.1671,30.5377,0.2529,25.29,0.004347,10000
(λ gt (count_suit (drop 2 $0) CLUBS) 2),21.1671,30.5377,0.0447,4.47,0.002066,10000
(λ gt (count_suit (drop 2 $0) DIAMONDS) 1),21.1671,30.5377,0.2592,25.92,0.004382,10000
(λ gt (count_suit (drop 2 $0) DIAMONDS) 2),21.1671,30.5377,0.0439,4.39,0.002049,10000
(λ gt (count_suit (drop 2 $0) HEARTS) 1),21.1671,30.5377,0.2609,26.09,0.004391,10000
(λ gt (count_suit (drop 2 $0) HEARTS) 2),21.1671,30.5377,0.045,4.5,0.002073,10000
(λ gt (count_suit (drop 2 $0) SPADES) 1),21.1671,30.5377,0.2574,25.74,0.004372,10000
(λ gt (count_suit (drop 2 $0) SPADES) 2),21.1671,30.5377,0.0438,4.38,0.002046,10000
(λ lt (max_rank (first_half $0)) (rank_val (last $0))),21.2386,30.6408,0.2166,21.66,0.004119,10000
(λ lt (max_rank (second_half $0)) (rank_val (head $0))),21.2386,30.6408,0.2255,22.55,0.004179,10000
(λ le (max_rank (first_half $0)) (rank_val (head $0))),21.2386,30.6408,0.3664,36.64,0.004818,10000
(λ le (max_rank (first_half $0)) (rank_val (last $0))),21.2386,30.6408,0.2736,27.36,0.004458,10000
(λ le (max_rank (second_half $0)) (rank_val (head $0))),21.2386,30.6408,0.2848,28.48,0.004513,10000
(λ le (max_rank (second_half $0)) (rank_val (last $0))),21.2386,30.6408,0.3622,36.22,0.004806,10000
(λ gt (n_unique_suits (first_half $0)) (rank_val (last $0))),21.2386,30.6408,0.0307,3.07,0.001725,10000
(λ gt (n_unique_suits (second_half $0)) (rank_val (last $0))),21.2386,30.6408,0.0317,3.17,0.001752,10000
(λ gt (n_unique_ranks (first_half $0)) (rank_val (head $0))),21.2386,30.6408,0.0616,6.16,0.002404,10000
(λ gt (n_unique_ranks (first_half $0)) (rank_val (last $0))),21.2386,30.6408,0.0642,6.42,0.002451,10000
(λ gt (n_unique_ranks (second_half $0)) (rank_val (head $0))),21.2386,30.6408,0.0612,6.12,0.002397,10000
(λ gt (n_unique_ranks (second_half $0)) (rank_val (last $0))),21.2386,30.6408,0.0652,6.52,0.002469,10000
(λ gt (min_rank (first_half $0)) (rank_val (last $0))),21.2386,30.6408,0.2233,22.33,0.004165,10000
(λ gt (min_rank (second_half $0)) (rank_val (head $0))),21.2386,30.6408,0.2216,22.16,0.004153,10000
(λ ge (n_unique_suits (first_half $0)) (rank_val (head $0))),21.2386,30.6408,0.103,10.3,0.00304,10000
(λ ge (n_unique_suits (first_half $0)) (rank_val (last $0))),21.2386,30.6408,0.1049,10.49,0.003064,10000
(λ ge (n_unique_suits (second_half $0)) (rank_val (head $0))),21.2386,30.6408,0.1018,10.18,0.003024,10000
(λ ge (n_unique_suits (second_half $0)) (rank_val (last $0))),21.2386,30.6408,0.1041,10.41,0.003054,10000
(λ ge (n_unique_ranks (first_half $0)) (rank_val (head $0))),21.2386,30.6408,0.1397,13.97,0.003467,10000
(λ ge (n_unique_ranks (first_half $0)) (rank_val (last $0))),21.2386,30.6408,0.1412,14.12,0.003482,10000
(λ ge (n_unique_ranks (second_half $0)) (rank_val (head $0))),21.2386,30.6408,0.1385,13.85,0.003454,10000
(λ ge (n_unique_ranks (second_half $0)) (rank_val (last $0))),21.2386,30.6408,0.1416,14.16,0.003486,10000
(λ ge (n_unique_colors (first_half $0)) (rank_val (head $0))),21.2386,30.6408,0.0561,5.61,0.002301,10000
(λ ge (n_unique_colors (first_half $0)) (rank_val (last $0))),21.2386,30.6408,0.0586,5.86,0.002349,10000
(λ ge (n_unique_colors (second_half $0)) (rank_val (head $0))),21.2386,30.6408,0.0568,5.68,0.002315,10000
(λ ge (n_unique_colors (second_half $0)) (rank_val (last $0))),21.2386,30.6408,0.061,6.1,0.002393,10000
(λ ge (min_rank (first_half $0)) (rank_val (head $0))),21.2386,30.6408,0.3633,36.33,0.00481,10000
(λ ge (min_rank (first_half $0)) (rank_val (last $0))),21.2386,30.6408,0.2811,28.11,0.004495,10000
(λ ge (min_rank (second_half $0)) (rank_val (head $0))),21.2386,30.6408,0.2777,27.77,0.004479,10000
(λ ge (min_rank (second_half $0)) (rank_val (last $0))),21.2386,30.6408,0.3649,36.49,0.004814,10000
